# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-1.085847e-10	-0.9996085	9.0208827e-11	-6.123234e-17	-1	-6.123234e-17
0	4.343388e-10	-0.9991706	-3.6751743e-10	-3.061617e-17	-0.5	-3.061617e-17
0	7.507379e-09	-0.9969365	7.951741e-10	0	0	0
0	1.9539598e-06	-0.9962424	6.815778e-10	3.061617e-18	0.05	3.061617e-18
0	0.0061960886	-0.99525166	-9.956381e-10	6.123234e-18	0.1	6.123234e-18
0	-1.3030164e-09	0.99814254	-8.6867756e-11	9.184851e-18	0.15	9.184851e-18
0	-2.281949e-09	0.99838495	1.9378192e-10	1.2246468e-17	0.2	1.2246468e-17
0	8.88724e-10	0.9985811	-2.9401395e-10	1.5308086e-17	0.25	1.5308086e-17
0	-1.5535964e-10	0.99874276	-8.6867756e-11	1.8369703e-17	0.3	1.8369703e-17
0	6.5150815e-11	0.9988774	-3.2742462e-10	2.1431318e-17	0.35	2.1431318e-17
0	2.271926e-10	0.998991	-1.8041765e-10	2.4492935e-17	0.4	2.4492935e-17
0	-1.0073319e-09	0.9990876	8.6867756e-11	2.7554553e-17	0.45	2.7554553e-17
0	-3.6751744e-11	0.9991706	3.808817e-10	3.061617e-17	0.5	3.061617e-17
0	4.6357312e-10	0.9996085	1.135963e-10	6.123234e-17	1	6.123234e-17
0	-1.7039445e-10	0.9991706	1.0691416e-10	3.061617e-17	0.5	3.061617e-17
0	2.6494666e-09	0.9969365	2.8064967e-10	0	0	0
0	6.525439e-07	0.9962424	9.822738e-10	-3.061617e-18	-0.05	-3.061617e-18
0	0.004918484	0.9952595	-1.236195e-09	-6.123234e-18	-0.1	-6.123234e-18
0	3.8221812e-09	-0.99814254	3.5415315e-10	-9.184851e-18	-0.15	-9.184851e-18
0	-4.5104412e-10	-0.99838495	-5.278887e-10	-1.2246468e-17	-0.2	-1.2246468e-17
0	8.018562e-10	-0.9985811	-7.1498846e-10	-1.5308086e-17	-0.25	-1.5308086e-17
0	-3.9257544e-10	-0.99874276	1.00232024e-10	-1.8369703e-17	-0.3	-1.8369703e-17
0	-3.407889e-10	-0.9988774	-1.8709978e-10	-2.1431318e-17	-0.35	-2.1431318e-17
0	-2.22181e-10	-0.998991	1.8041765e-10	-2.4492935e-17	-0.4	-2.4492935e-17
0	1.2194896e-10	-0.9990876	3.207425e-10	-2.7554553e-17	-0.45	-2.7554553e-17
0	1.0691416e-10	-0.9991706	-3.8756384e-10	-3.061617e-17	-0.5	-3.061617e-17
0	6.5150815e-11	-0.9996085	-7.016242e-11	-6.123234e-17	-1	-6.123234e-17
0	-4.259861e-10	-0.9991706	-2.8064967e-10	-3.061617e-17	-0.5	-3.061617e-17
0	1.374181e-08	-0.9969365	4.94478e-10	0	0	0
0	3.0685433e-06	-0.9962424	-3.7419956e-10	3.061617e-18	0.05	3.061617e-18
0	0.006598392	-0.9952487	-1.035731e-09	6.123234e-18	0.1	6.123234e-18
0	1.4099305e-09	0.99814254	4.0761025e-10	9.184851e-18	0.15	9.184851e-18
0	-5.780047e-10	0.99838495	-4.8779586e-10	1.2246468e-17	0.2	1.2246468e-17
0	4.4770304e-10	0.9985811	4.811137e-10	1.5308086e-17	0.25	1.5308086e-17
0	7.517402e-11	0.99874276	2.0046405e-10	1.8369703e-17	0.3	1.8369703e-17
0	6.1642697e-10	0.9988774	-1.336427e-11	2.1431318e-17	0.35	2.1431318e-17
0	-1.8208818e-10	0.998991	-5.4125293e-10	2.4492935e-17	0.4	2.4492935e-17
0	5.44594e-10	0.9990876	-2.47239e-10	2.7554553e-17	0.45	2.7554553e-17
0	3.357773e-10	0.9991706	3.4747102e-10	3.061617e-17	0.5	3.061617e-17
0	3.4412995e-10	0.9996085	1.0691416e-10	6.123234e-17	1	6.123234e-17
0	-8.068678e-10	0.9991706	2.8064967e-10	3.061617e-17	0.5	3.061617e-17
0	-1.4513597e-08	0.9969365	-1.4099305e-09	0	0	0
0	-3.2721011e-06	0.9962424	-1.2629235e-09	-3.061617e-18	-0.05	-3.061617e-18
0	-0.006825614	0.995247	-2.1382832e-10	-6.123234e-18	-0.1	-6.123234e-18
0	-2.9000466e-09	-0.99814254	1.7373551e-10	-9.184851e-18	-0.15	-9.184851e-18
